ID_SOURCE,ID_TARGET,NILAI_TRANSAKSI
692,30,106300000
648,705,200000
1188,1000,500000
1188,1492,1300000
1188,911,5500000
1368,1264,200000
856,1816,2100000
856,913,1200000
856,1639,1400000
856,246,1700000
84,1397,100000
1445,1831,700000
464,6,1300000
464,779,1200000
1063,519,1200000
1063,1466,1200000
581,1526,1200000
403,701,1700000
403,936,1400000
668,62,2400000
309,1231,200000
309,1831,900000
309,555,200000
309,1393,1300000
309,701,300000
309,219,1700000
309,1396,700000
1697,1269,74600000
1697,112,13100000
1697,914,100000
1697,1406,300000
1697,1086,100000
1190,1186,600000
550,306,100000
550,517,100000
550,1838,300000
550,258,100000
1498,1840,1300000
456,316,1100000
1311,124,200000
1311,1264,700000
1311,493,200000
1322,1584,1200000
1322,206,400000
1322,207,500000
1322,1520,100000
612,769,1500000
612,1423,900000
612,1703,100000
1791,1415,200000
1791,1727,300000
1791,871,100000
1791,1728,100000
804,772,3600000
502,1816,100000
207,1718,5300000
207,981,100000
207,1602,800000
207,837,1200000
207,952,1900000
207,274,1400000
207,1405,8400000
614,1358,2500000
1546,1629,100000
1546,758,1100000
1546,1538,200000
1546,1051,100000
1546,1243,100000
1546,795,100000
760,1622,100000
687,633,1200000
647,1638,100000
647,835,100000
647,1696,1700000
647,610,100000
1696,835,200000
1132,63,1200000
1093,1245,300000
1093,1332,3200000
712,73,200000
712,572,100000
712,1351,8400000
593,906,1200000
1508,844,100000
371,1782,1200000
758,1506,4700000
758,688,1100000
463,844,6700000
571,1792,8100000
806,691,600000
314,973,1200000
504,977,100000
471,1156,100000
1040,1181,300000
931,919,2400000
931,803,58300000
931,574,2400000
931,1756,100000
931,1830,100000
931,1771,4700000
931,905,100000
931,160,2500000
931,776,100000
931,111,3600000
931,1384,51900000
1250,988,1200000
152,512,3900000
152,1314,1200000
453,1444,900000
453,1784,3700000
1668,443,300000
1767,1476,100000
1849,987,100000
38,786,2500000
987,895,300000
987,336,1200000
667,821,300000
1807,496,1200000
1807,512,1300000
1635,77,92600000
702,1189,100000
1690,1662,100000
59,874,800000
372,751,100000
1846,1186,2500000
1542,1186,400000
1542,1825,25600000
1810,1229,8300000
1810,444,600000
345,1,2800000
345,1237,100000
23,1314,1200000
1252,1315,500000
1059,1031,8100000
543,355,1200000
1534,755,100000
776,1756,4400000
776,1587,1100000
776,1272,2000000
776,931,3200000
776,978,1800000
483,1696,100000
483,610,2100000
483,835,1700000
483,1732,100000
483,636,1100000
483,57,1900000
483,1344,100000
483,362,1400000
483,73,15800000
483,1351,4700000
483,647,800000
573,1516,1700000
573,780,100000
777,781,23200000
216,782,100000
759,1202,1200000
759,164,1200000
759,838,1100000
935,839,15400000
935,832,75100000
935,1225,200000
935,1072,400000
935,1394,116200000
597,847,2000000
597,1388,400000
597,349,400000
1698,57,100000
925,1569,45700000
925,78,26500000
1591,78,2300000
1591,1569,600000
35,1434,700000
1519,396,1200000
1519,517,1200000
1519,694,1300000
1741,1730,100000
1741,536,100000
1145,1181,100000
1606,1351,2500000
476,931,12100000
202,1836,100000
1554,1785,400000
1554,706,3500000
217,1043,7000000
1184,661,1200000
1184,411,1200000
1184,110,1200000
1184,1227,1200000
1457,1053,100000
1090,1496,300000
1832,366,2400000
853,1295,1100000
404,958,1300000
1497,1401,70300000
1497,497,4900000
92,1528,1300000
574,931,100000
867,677,1200000
867,1717,1900000
867,1127,800000
1403,181,3700000
1218,807,900000
1218,1570,7100000
1231,1445,100000
1231,675,200000
1231,309,100000
1231,219,500000
1231,1396,600000
1231,701,100000
1272,389,300000
1272,931,1200000
1272,574,100000
1263,862,1600000
862,1263,1000000
292,600,300000
292,1200,100000
292,300,300000
292,1580,100000
31,225,138900000
31,405,34100000
31,388,7200000
31,1711,10100000
31,761,35300000
31,1664,31300000
31,1136,19700000
31,1055,143600000
31,16,20000000
31,1027,26500000
31,1801,24600000
31,1672,12400000
31,630,40100000
31,553,9800000
31,1292,46600000
31,1050,35800000
31,1080,34400000
31,1796,31000000
31,1076,36000000
31,490,249700000
109,458,100000
1353,1093,100000
662,74,1700000
7,273,600000
7,1282,400000
7,1604,300000
7,1180,300000
7,1766,200000
7,893,200000
7,1456,200000
7,1512,500000
7,1163,400000
7,1404,100000
1178,1351,100000
1178,835,100000
1344,1732,3400000
1344,1638,100000
982,246,500000
17,625,65300000
1069,1841,100000
729,1230,100000
106,695,1400000
106,1019,14200000
1053,722,100000
