srcid,dstid,srcname,dstname
1215609697207640064,20963426,abanglurus,korantempo
1158348734498951168,1912717152,IbraPanyalai,AT_AbdillahToha
1215609697207640064,20963426,abanglurus,korantempo
1361953101796634629,719725925215170561,Safitridede1,marlina_idha
1244268401704308736,719725925215170561,FalNdaru,marlina_idha
1209509847806251011,30201110,Ichank79656017,alisyarief
1445706612,719725925215170561,rossypauzi,marlina_idha
600917952,1912717152,theWorldOfLie,AT_AbdillahToha
126060514,1912717152,achmad_taher,AT_AbdillahToha
1209509847806251011,1040306964100669440,Ichank79656017,NenkMonica
1443924882673176577,1912717152,he00507808,AT_AbdillahToha
1593439225268928512,1333696739258167298,Yonz2_lp,BangEdiii
1593439225268928512,1400785888888561667,Yonz2_lp,Ken_Atie
1337025695382294529,1006827831995711488,Nini54119023,ekowboy2
809401257655836672,1443801854756880385,abi_rahman1980,kba_news
70094461,55200751,myekobudi,WagimanDeep212_
1421725952225075203,3045313549,blank_identity9,WiedYuli
1504397643006775297,1912717152,Arslan29064712,AT_AbdillahToha
768976703632781314,972357839279673344,soesintho007,FaGtng
520988540,1912717152,setiyadiarif,AT_AbdillahToha
1577457058063917056,20963426,mengturuu,korantempo
1577457058063917056,20963426,mengturuu,korantempo
1530875637551902720,80323736,SugengSpriyadi,ridwankamil
1530875637551902720,80323736,SugengSpriyadi,ridwankamil
1571309243042791424,1564434183862484992,Risalahkalapati,karas_kalao
1587580609,1912717152,Ana_Suanti,AT_AbdillahToha
1428972172886765571,1126547830754107392,Saipul76104730,M45Broo
2770794800,1912717152,andhika0886,AT_AbdillahToha
1173417163,190679407,IrzalN,andre_rosiade
1173417163,83867535,IrzalN,tifsembiring
1173417163,40580714,IrzalN,prabowo
1479021865267986432,1912717152,Ibunyairsyad,AT_AbdillahToha
1358784821934190594,1566603883215855621,HitsIndonesia_,zona_sumut
1358784821934190594,506059176,HitsIndonesia_,Urrangawak
1530875637551902720,2314935228,SugengSpriyadi,AldiNeno
1530875637551902720,80323736,SugengSpriyadi,ridwankamil
1358784821934190594,1566603883215855621,HitsIndonesia_,zona_sumut
1358784821934190594,1568068733134073856,HitsIndonesia_,Tehmanis5675
1358784821934190594,923735362215723009,HitsIndonesia_,plat_mirah
62414329,1912717152,AlfiandiMarjian,AT_AbdillahToha
1114542785246289921,1447610310529982467,fksuhartono,TeddGus
533765689,1912717152,amrullahkareem1,AT_AbdillahToha
817185976657162241,1912717152,Aryaadi67273603,AT_AbdillahToha
242535428,20963426,bobnstMEdan,korantempo
242535428,20963426,bobnstMEdan,korantempo
760771268,1912717152,SangJelajah,AT_AbdillahToha
1594345176293523456,20963426,haneena81ah,korantempo
1471210110,1443801854756880385,molfina14,kba_news
2614556112,1912717152,syaifulchkai,AT_AbdillahToha
1361688134845493256,1420614189421195271,Andracadabra1,barikade_98
2866140311,948938684,MahaBhisma,ar029
2866140311,1456283686312103939,MahaBhisma,Yurissa_Samosir
1500765526410162176,1518055859569389568,Bagusokya,JarnasABW
2866140311,1293407119580884992,MahaBhisma,SheTiaa2
2866140311,1456283686312103939,MahaBhisma,Yurissa_Samosir
814025143932448769,2718336037,hendra0201,SuwandaBen
814025143932448769,30201110,hendra0201,alisyarief
1206090521984163840,1185767973111263233,t3hangat,Relawananies
1005387317345808385,1912717152,andung_sadewo,AT_AbdillahToha
1337025695382294529,1185767973111263233,Nini54119023,Relawananies
112669310,1557502882525884416,ivanazhar1,Didil201
112669310,216261549,ivanazhar1,NediSetiadi
112669310,1365866673891274754,ivanazhar1,Utiah_Mak
112669310,774899754283044864,ivanazhar1,hendrik_rimbang
112669310,1144076020175138816,ivanazhar1,Singa_Nala
2748242856,1443801854756880385,58d7169a88a84cf,kba_news
887442403249889283,69183155,a_latieff,detikcom
3307602048,1912717152,HasbullahIkhsan,AT_AbdillahToha
1579393974464565248,1579393974464565248,PennyJo35370517,PennyJo35370517
74651542,1912717152,reggayfreak,AT_AbdillahToha
1574000931213287424,80323736,RKIJ_KabBdg,ridwankamil
1574000931213287424,80323736,RKIJ_KabBdg,ridwankamil
424712175,1443801854756880385,ridwan_banjari,kba_news
1207132092699533312,1912717152,JacksQuevara,AT_AbdillahToha
251408624,109762193,Annas_Cim,ganjarpranowo
445944943,1912717152,DemonstranTL,AT_AbdillahToha
981104374226198528,1168746690,TohaAlhabsyie,Sahabat_Bangsa
2576616835,1912717152,nasgortrasi,AT_AbdillahToha
1497245321419984896,1912717152,RonnyTrihandoko,AT_AbdillahToha
105100988,1443801854756880385,adila_shatir,kba_news
539044328,1912717152,RiyadiYadi3,AT_AbdillahToha
1476952757747679233,1443801854756880385,cheenoel,kba_news
117449840,1549212418647425024,M_Zulfan_Z,Ferry09431899
117449840,69183155,M_Zulfan_Z,detikcom
117449840,85261966,M_Zulfan_Z,AsalBerkata
117449840,1356474835443060736,M_Zulfan_Z,ZulaikaSugiarto
117449840,69183155,M_Zulfan_Z,detikcom
2798875490,1443801854756880385,royrohadi99,kba_news
797534449835524100,1912717152,onetu_17,AT_AbdillahToha
1130457495967715330,1912717152,qhusaeni72,AT_AbdillahToha
1088448122961813504,1912717152,prince_efel,AT_AbdillahToha
1476931508040437766,1912717152,Koruptordor1,AT_AbdillahToha
1325632120849539073,1912717152,nakamarising,AT_AbdillahToha
1166573653112315904,20963426,afaatt,korantempo
1439821712,1912717152,catreonot,AT_AbdillahToha
502641487,1912717152,chaaacil,AT_AbdillahToha
1071607990573092864,736384867181547520,anonapostate,Mentimoen
1009992538923520000,1126547830754107392,Yus_SB_,M45Broo
1492155384089702402,2905814730,tuminosaja,abu_waras
1531552707827290113,1912717152,nasrulkaz,AT_AbdillahToha
1157046355,1912717152,kinilahsaatnya,AT_AbdillahToha
1590004310485524480,178237411,Nabila07525367,AndiSinulingga
94752564,1912717152,AdrianAdyatma,AT_AbdillahToha
579089730,1912717152,NKRIndonesia79,AT_AbdillahToha
276424408,1912717152,eelezha,AT_AbdillahToha
90335718,1912717152,otsuzo,AT_AbdillahToha
58716446,1912717152,nikkyun17,AT_AbdillahToha
