srcid, dstid, srcname, dstname
1103949609158627329,1518548511087685633,rikarachmayant2,prabowomuda08
738175850407829504,2558197662,lelakiabiez,patriot016610
1576778130005852160,1502537587407294464,mtaurus9,Sekber_AniesId
766271850464894976,2558197662,TangguiSampoer1,patriot016610
520062978,1502537587407294464,JeckDumai,Sekber_AniesId
1249352392954368001,1310491734086877184,denni_sauya,riyadisugeng167
1581525819775913985,1502537587407294464,axew81setu,Sekber_AniesId
1528286672085196800,1502537587407294464,SamsulhadiHad15,Sekber_AniesId
1461731416673116160,2558197662,SAHABATAnies1,patriot016610
1310491734086877184,1172443351607472129,riyadisugeng167,heryawan_g
1581525819775913985,1457907849888026624,axew81setu,akunkeenam212
1400072435903320069,1502537587407294464,yayan_nasai,Sekber_AniesId
1581525819775913985,1502537587407294464,axew81setu,Sekber_AniesId
1370056795,1172443351607472129,BossToukeeIsa,heryawan_g
825550568370237441,1518548511087685633,ismailchandra9,prabowomuda08
1330077678326714369,2558197662,AgungAnggoroPut,patriot016610
1411339937572528129,379288910,YoYoAyo17845,pengarang_sajak
851379912,1387838579435458565,mamanjunaedi,tukangrosok___
1040668954664951808,1387838579435458565,savagemaniac7,tukangrosok___
1353965204816629761,1334853481019056128,AbuWafa51611261,Mdy_Asmara1701
1370742494778912776,1260061504767836162,how378_,Dharma_tc
1325448613305085960,409372768,al_lasan,tonaytoni1
1430865045466927108,2558197662,zenold_AntiJoko,patriot016610
560392924,2558197662,cuektogether,patriot016610
1092436394771808257,2558197662,RUSWI3,patriot016610
1004921130971303936,2558197662,BagindoY,patriot016610
1579291582733291525,1387838579435458565,rania_rohani,tukangrosok___
1541998578805006336,1502537587407294464,Retnowul8844,Sekber_AniesId
2792760140,1387838579435458565,syamsulhadi_ae,tukangrosok___
849618822709379076,1556284464505823232,Retnowonosari,adiastaraya
1292096979795767296,1052339653,LulukSwa,siregar_najeges
1572209052549255171,2558197662,ErmansyahUus,patriot016610
747772552139804672,1502537587407294464,HiSony1,Sekber_AniesId
1377981199893753856,1502537587407294464,wawan1268,Sekber_AniesId
994996825819045889,2558197662,AdityarifqiRif1,patriot016610
994996825819045889,2558197662,AdityarifqiRif1,patriot016610
3313508017,1387838579435458565,TinaDubie,tukangrosok___
1547086169799700480,1387838579435458565,BahamasJefry,tukangrosok___
1445706612,2558197662,rossypauzi,patriot016610
1310585080973148165,1097107026956627968,sonsih56gmailc1,jonsa61664335
1393918925318987776,2558197662,ciangsex,patriot016610
1304097496927412226,2558197662,ahwi_cingwan,patriot016610
1159129758015225857,409372768,SamberSajati,tonaytoni1
384190172,2558197662,dwi_nantoo,patriot016610
1292177841946152960,1052339653,WansukOnes,siregar_najeges
1732140188,2558197662,whysato2,patriot016610
1310491734086877184,1556284464505823232,riyadisugeng167,adiastaraya
1469273556068409346,1052339653,MMusramidal,siregar_najeges
248814171,506059176,ruben_galih,Urrangawak
1388042421456437252,2558197662,AypPrakasa,patriot016610
4200088157,409372768,CryptoKuta,tonaytoni1
239293819,2558197662,ifdolmah,patriot016610
4200088157,1249352392954368001,CryptoKuta,denni_sauya
879295432895025154,1052339653,amfas2020,siregar_najeges
1095708720305135616,2558197662,1Agamano,patriot016610
312698073,1912717152,yudhadhanantaa,AT_AbdillahToha
879295432895025154,2558197662,amfas2020,patriot016610
1122018053795876864,2558197662,PurwantoHeri,patriot016610
993181832433692672,2558197662,HendraHanifah,patriot016610
1527631818207375361,4926384091,dpd_tangray,MOHAMADRUSLI14
1528179272917000192,2558197662,Dasepmilanisti1,patriot016610
1578287414606409728,2558197662,aeryd992,patriot016610
168625042,1097107026956627968,visiau,jonsa61664335
1199772596,2558197662,sumadiseloguno,patriot016610
1213134333390704641,1052339653,Omtal5,siregar_najeges
968086228145860610,1387838579435458565,Ucok_Hutasoit,tukangrosok___
766271850464894976,2558197662,TangguiSampoer1,patriot016610
1578287414606409728,2558197662,aeryd992,patriot016610
1049488491178995712,409372768,parwatyRizky,tonaytoni1
1472832391316049920,1567483663545438209,mavin1818,PutunMy
1265916778439303168,1567483663545438209,Sumanto59653397,PutunMy
766271850464894976,2558197662,TangguiSampoer1,patriot016610
1420567233688866818,2558197662,MokhlasL,patriot016610
1583067578431197184,1387838579435458565,jolotundo988,tukangrosok___
2293229845,1387838579435458565,AgusSup39011241,tukangrosok___
2585242076,1387838579435458565,mumungwisnu_1,tukangrosok___
1167652641448423424,2558197662,MsFirdaus5,patriot016610
811857323060645889,2558197662,McKayo_68,patriot016610
993181832433692672,1052339653,HendraHanifah,siregar_najeges
721592962619088896,52307891,latifnurrohmah,Agus_Purwadi
1420567233688866818,2558197662,MokhlasL,patriot016610
1347771081059233793,1243076846515662848,_NusantaraKu,Nailazaara__
4889057999,1387838579435458565,CallOfDutyRI,tukangrosok___
1598818847951585281,2558197662,Abdul44_Hamid,patriot016610
1347771081059233793,1379546070783430661,_NusantaraKu,DM_N4BYL
1547764916,2558197662,NasrilLatief,patriot016610
2754383112,2558197662,toranaga3000,patriot016610
1108223303288651776,2558197662,idandasyahooco1,patriot016610
1108223303288651776,2558197662,idandasyahooco1,patriot016610
1347771081059233793,1556284464505823232,_NusantaraKu,adiastaraya
1325448613305085960,1049488491178995712,al_lasan,parwatyRizky
1147499477751586818,2558197662,Hmmurahmurahhm2,patriot016610
